session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,pt_root_id,cc_max,layer,cell_type
6,4,7174,6638,1141.2,1115.54,416.18,V1,6,864691135688049376,0.808903,L5,5P-IT
6,4,7176,6640,1098.09,1117.93,416.46,V1,6,864691135849613918,0.876634,L5,5P-IT
6,4,7178,6642,1203.07,313.66,408.48,RL,6,864691135848693086,0.604088,L5,5P-IT
6,4,7181,6643,1244.28,229.07,407.46,RL,6,864691137197825857,0.774974,L5,5P-IT
6,4,7182,6644,928.32,1107.57,417.4,V1,6,864691136137440893,0.831336,L5,5P-IT
6,4,7183,6645,1051.68,886.18,414.63,V1,6,864691136675427975,0.902845,L5,5P-IT
6,4,7184,6646,959.67,318.07,410.01,RL,6,864691135454591594,0.63372,L5,5P-IT
6,4,7185,6647,984.83,1010.56,416.17,V1,6,864691135477216424,0.874693,L5,5P-IT
6,4,7186,6648,1204.87,77.04,406.31,AL,6,864691136105517785,0.529339,L5,5P-IT
6,4,7187,6649,1123.51,109.23,407.1,AL,6,864691136673953159,0.648404,L5,5P-IT
6,4,7189,6650,1058.77,288.42,409.13,RL,6,864691135233754713,0.683441,L5,5P-IT
6,4,7191,6652,1323.26,510.72,409.55,RL,6,864691136107031513,0.769114,L5,5P-ET
6,4,7194,6655,1311.85,343.81,408.09,RL,6,864691135610034439,0.807527,L5,5P-IT
6,4,7195,6656,1302.49,241.66,407.22,RL,6,864691135884316528,0.603605,L5,5P-IT
6,4,7196,6657,1183.28,248.86,408.01,RL,6,864691135476969640,0.80514,L5,5P-IT
6,4,7197,6658,1049.52,171.33,408.12,AL,6,864691136436413342,0.984208,L5,5P-IT
6,4,7198,6659,954.5,998.04,416.24,V1,6,864691135463125661,0.351753,L5,5P-IT
6,4,7200,6661,1262.14,214.17,407.21,RL,6,864691136312212285,0.888097,L5,5P-IT
6,4,7201,6662,1291.59,675.03,411.24,V1,6,864691135361097799,0.892514,L5,5P-IT
6,4,7202,6663,1015.26,1008.14,415.96,V1,6,864691135562885857,0.959848,L5,5P-IT
6,4,7204,6665,1241.51,592.72,410.79,V1,6,864691135658881154,0.77007,L5,5P-IT
6,4,7205,6666,933.75,726.5,413.89,V1,6,864691136067020952,0.868179,L5,5P-IT
6,4,7207,6668,1024.72,1097.83,416.73,V1,6,864691135658674818,0.754227,L5,5P-IT
6,4,7208,6669,1290.38,500.68,409.65,RL,6,864691135517125075,0.891643,L5,5P-IT
6,4,7209,6670,808.21,566.79,413.2,V1,6,864691135719735857,0.841248,L5,5P-IT
6,4,7210,6671,1304.07,699.97,411.39,V1,6,864691135940555942,0.698828,L5,5P-IT
6,4,7211,6672,1125.15,226.3,408.16,RL,6,864691136020916216,0.693937,L5,5P-IT
6,4,7212,6673,1289.27,978.9,414.02,V1,6,864691135502453173,0.775101,L5,5P-IT
6,4,7213,6674,1236.06,976.28,414.33,V1,6,864691136990963605,0.921242,L5,5P-IT
6,4,7215,6676,902.95,1110.0,417.58,V1,6,864691135013517046,0.669559,L4,4P
6,4,7216,6677,1322.04,670.12,411.01,V1,6,864691136312704573,0.584623,L5,5P-ET
6,4,7217,6678,1151.68,1070.73,415.7,V1,6,864691136227799121,0.847372,L5,5P-IT
