session,scan_idx,unit_id,readout_id,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI
4,7,808,657,-0.0955657918,-0.0347356012,17.0401651714,14.828926091,-3.1415926536,6.9352117599
4,7,809,658,-0.2303349118,0.2566392967,25.4227231651,22.2273711252,-3.1415926536,7.3093081252
4,7,816,664,-0.1702336022,-0.0921418184,12.8467163413,21.4625082721,2.7352845736,6.4708988265
4,7,817,665,-0.1759731093,-0.0006754392,10.1743451101,12.5244116825,3.1415926536,7.524167725
4,7,819,667,-0.1911795821,0.0613695101,13.9771191151,13.3430728031,0.2309648393,7.7909006252
4,7,821,669,-0.2691329013,0.0347557756,15.1378182314,11.9307587533,3.1415926536,8.1437906381
4,7,822,670,-0.2263552805,0.1269862666,10.886365329,14.1292962394,-1.6450596611,7.474790247
4,7,823,671,-0.1765795734,0.0648800899,18.1863714208,16.3564729263,-3.1415926536,7.0019674304
4,7,825,673,-0.1217884158,-0.1098392721,19.1634124037,16.7133592984,-0.8958632953,7.0994612856
4,7,827,674,-0.2285184316,0.0105033996,12.1269743228,17.261957725,3.1415926536,6.8142163786
4,7,829,676,-0.2275691605,0.0532572122,16.3487280207,15.0510433583,3.1415926536,7.5523531153
4,7,831,678,-0.2133762684,0.0714771215,16.6689215726,13.529896668,3.1415926536,7.1995800725
4,7,832,679,-0.1989897892,0.0738064986,15.0713879912,22.5155455668,-3.1415926536,6.6321532318
4,7,833,680,-0.2264433943,0.0572356846,16.6800608284,19.2520182365,0.5209113057,7.3621900105
4,7,836,681,-0.2105804741,-0.1024370418,12.6562327473,10.9820803371,-0.4550710912,7.9551224797
4,7,837,682,-0.204320377,-0.1007711839,10.7090785574,11.3243685282,-0.5384536097,7.7059329119
4,7,839,683,-0.2202604291,-0.0098548567,11.0324295629,12.5637599201,3.1415926536,7.1019230663
4,7,840,684,-0.1956383762,0.0686353106,10.2835345716,10.6280427063,3.1415926536,6.7511329569
4,7,841,685,-0.1793174645,-0.0040578256,12.8492825599,10.9883153197,3.1415926536,7.4525591334
4,7,845,687,-0.1717858933,-0.0519687542,10.5842109199,8.8120194524,0.4292205359,7.3647395175
4,7,846,688,-0.2566596494,-0.057380453,9.2613062383,8.8256196331,-3.1415926536,6.8232740667
4,7,847,689,-0.2681301797,0.0203109761,19.1391526912,15.463660426,3.1415926536,7.6003534262
4,7,848,690,-0.2081557707,0.1128483033,15.7602458298,18.3297527014,-0.2721755309,7.0002507201
4,7,849,691,-0.1877782855,0.1461789199,15.0942778271,12.0886104996,3.1415926536,7.138017138
4,7,852,693,-0.1993950165,-0.098035321,11.978302866,9.3108658847,-1.6368240823,6.7553343341
4,7,854,695,-0.2605668782,-0.0247640274,15.933727729,18.8724313961,-3.1415926536,7.2034781808
4,7,855,696,-0.2588093935,-0.1547742215,14.0704178637,11.8065605835,1.6296479062,6.8699803254
4,7,856,697,-0.2377649755,0.0415468886,10.6674887111,9.873827976,1.6348365272,6.7144235446
4,7,857,698,-0.246751542,-0.0953861697,11.4267657407,10.6314850919,-0.067460487,8.4153636664
4,7,858,699,-0.1564369461,0.003234162,10.8973116857,16.3938895496,-0.302641367,6.6913395733
