session,scan_idx,unit_id,readout_id,brain_area,layer,MEDI,Gabor,MESI,Grating,Natural
4,7,913,741,V1,L23,41.700542,8.443160057067871,26.42800521850586,4.1966152191,7.871357440948486
4,7,914,742,V1,L23,6.2055287,1.5248733758926392,1.2881596088409424,4.8201656342,6.225370407104492
4,7,915,743,V1,L23,4.563472,2.4480173587799072,2.135081052780152,4.766523838,3.8652420043945312
4,7,919,747,RL,L23,29.414377,0.6784390211105347,0.7839382290840149,2.5944054127,8.651598930358887
4,7,921,749,RL,L23,103.5271,3.814168930053711,4.081201076507568,9.3410263062,15.213309288024902
4,7,925,752,V1,L23,26.584946,11.201507568359377,19.899158477783203,1.3444328308,7.397202968597412
4,7,926,753,V1,L23,32.057674,1.9850220680236816,7.820490837097168,3.169700861,6.458077430725098
4,7,927,754,V1,L23,16.373268,6.470025062561035,6.8871259689331055,2.9939713478,8.771890640258789
4,7,928,755,V1,L23,18.930096,3.8445639610290527,5.310337066650391,4.4629693031,10.640416145324709
4,7,929,756,V1,L23,13.165065,1.1533732414245603,1.7251739501953125,1.4849128723,4.22502326965332
4,7,931,757,V1,L23,5.812317371368408,2.6826813220977783,5.539661884307861,3.3589217663,8.442651748657227
4,7,932,758,V1,L23,13.699317932128906,2.2012643814086914,3.4367830753326416,6.3852972984,7.282634258270264
4,7,933,759,V1,L23,31.601387,7.186691761016846,5.288769721984863,13.2175550461,5.098061561584473
4,7,934,760,V1,L23,6.3464723,1.679612159729004,1.305046558380127,1.4925236702,7.858587265014648
4,7,936,761,V1,L23,39.899815,15.478790283203123,11.690204620361328,2.8584759235,7.404080390930176
4,7,937,762,V1,L23,87.58768,0.1374935656785965,22.88966560363769,14.2220010757,27.585124969482425
4,7,938,763,V1,L23,19.72949,2.6696102619171143,5.442416191101074,4.6917705536,6.45817756652832
4,7,940,764,V1,L23,224.2662353515625,60.613059997558594,37.64064025878906,442.8048706055,33.64847183227539
4,7,941,765,V1,L23,57.78541,1.4578899145126345,4.968067169189453,3.911031723,6.678399085998535
4,7,942,766,V1,L23,63.84851,6.698986053466797,10.242819786071776,16.1582946777,9.07329273223877
4,7,943,767,V1,L23,3.9045053,0.7405319809913635,0.7535125017166138,1.4084675312,4.683645725250244
4,7,945,769,V1,L23,12.241532,4.389114856719971,4.591163158416748,2.5808060169,8.980809211730957
4,7,947,770,V1,L23,10.734753,1.5932575464248655,2.1321709156036377,1.031709075,6.484838962554932
4,7,948,771,V1,L23,31.068535,8.215726852416992,12.51474380493164,2.0476155281,25.4890193939209
4,7,950,773,V1,L23,2.8122246,0.8297327160835266,1.1827548742294312,1.6493918896,7.630711555480957
4,7,951,774,V1,L23,219.04459,7.294488906860352,39.60979080200195,2.0218977928,9.075616836547852
4,7,952,775,V1,L23,16.690336,0.8181454539299011,3.6068291664123535,1.8266899586,11.707358360290527
4,7,953,776,V1,L23,104.44789123535156,10.487160682678224,8.75627326965332,1.0118823051,12.861056327819824
4,7,955,778,V1,L23,27.584072,5.910198211669922,4.194219589233398,18.008808136,10.647176742553713
4,7,956,779,V1,L23,203.85113525390625,2.770826816558838,4.008790969848633,8.7004108429,13.44635772705078
4,7,959,782,V1,L23,2.9431262,1.195728421211243,0.7847118973731995,1.4571839571,3.012943744659424
4,7,960,783,V1,L23,63.99278,11.835134506225586,6.155546188354492,20.0078773499,7.113220691680908
4,7,962,785,V1,L23,60.152443,28.872779846191406,33.42097091674805,34.6733436584,58.65511703491211
4,7,964,787,V1,L23,61.86757,4.1396894454956055,6.087881088256836,4.8910923004,18.68073081970215
4,7,965,788,V1,L23,15.378552,1.8451019525527956,2.7355620861053467,7.4024701118,18.20723533630371
4,7,968,791,V1,L23,33.05891418457031,4.139282703399658,4.867361545562744,5.7364153862,27.15834045410156
4,7,969,792,V1,L23,2.792740821838379,1.776683688163757,2.5481882095336914,1.5477023125,11.247759819030762
4,7,970,793,V1,L23,9.751953,4.336810111999512,4.810494422912598,1.3668769598,3.9517645835876474
4,7,973,795,V1,L23,85.70701,22.21639633178711,30.96864318847656,6.2509903908,21.28815650939941
4,7,974,796,V1,L23,18.933094024658203,3.6738224029541016,3.851546287536621,0.8028402925,10.473370552062988
4,7,979,799,V1,L23,65.879684,18.20871925354004,8.970792770385742,4.731259346,67.524169921875
4,7,980,800,V1,L23,12.116731,1.4505915641784668,7.1212663650512695,1.5783845186,16.759126663208008
4,7,982,802,V1,L23,21.467674,2.566725254058838,5.82371711730957,1.1186481714,14.241305351257324
4,7,983,803,V1,L23,7.7810655,2.1588728427886963,3.1037590503692627,0.8719795346,4.370177745819092
4,7,985,805,V1,L23,75.54883575439453,7.696065902709961,12.75019073486328,27.6929683685,18.7414493560791
4,7,986,806,V1,L23,32.555946350097656,6.132560253143311,8.962777137756348,47.4953460693,12.971426010131836
4,7,987,807,V1,L23,4.3475037,1.3375062942504885,1.1303813457489014,1.4075284004,6.449187755584717
4,7,990,810,V1,L23,26.06081962585449,5.001863956451416,7.211832046508789,4.5404481888,6.590125560760498
4,7,992,812,V1,L23,9.051433563232422,1.7224808931350708,2.0151937007904053,3.686416626,5.32831621170044
4,7,993,813,V1,L23,3.1587462,2.3962507247924805,3.45663857460022,4.3662128448,20.04734992980957
4,7,994,814,V1,L23,13.754075,0.9014203548431396,3.019191026687622,1.2237648964,5.972748279571533
4,7,996,816,V1,L23,21.853771,4.446027755737305,7.703510284423828,1.3843588829,9.559039115905762
4,7,998,818,V1,L23,59.057457,6.947922229766846,8.645179748535156,4.5877680779,9.569517135620115
4,7,999,819,RL,L23,51.28134,2.618248224258423,4.40205192565918,2.6628437042,18.699277877807617
4,7,1002,821,V1,L23,31.687843,3.8463363647460938,7.610268115997314,4.7726774216,4.735703945159912
4,7,1003,822,V1,L23,4.868262,2.477147102355957,2.836416721343994,3.2371850014,6.567861557006836
4,7,1004,823,V1,L23,22.176043,3.245516777038574,2.5001895427703857,2.7452011108,12.52090835571289
4,7,1005,824,V1,L23,8.932513,0.67352694272995,0.8618193864822388,2.1566932201,12.654349327087402
4,7,1006,825,V1,L23,89.49331,1.3728848695755005,9.112380981445312,0.692245841,13.02268886566162
4,7,1007,826,V1,L23,5.3645077,2.146059513092041,3.4552206993103027,2.3183143139,9.24159812927246
4,7,1009,828,V1,L23,23.349733352661133,1.3624447584152222,7.461005687713623,1.7888559103,9.695207595825195
