session,scan_idx,unit_id,readout_id,start_frame,end_frame
4,7,3040,2647,9957,10016
4,7,3041,2648,60145,60204
4,7,3042,2649,66369,66428
4,7,3043,2650,69673,69732
4,7,3044,2651,26527,26586
4,7,3045,2652,29811,29870
4,7,3046,2653,15049,15108
4,7,3048,2655,65575,65634
4,7,3049,2656,52975,53034
4,7,3050,2657,72343,72402
4,7,3051,2658,58624,58683
4,7,3052,2659,42235,42294
4,7,3053,2660,31211,31270
4,7,3054,2661,58832,58891
4,7,3055,2662,74508,74567
4,7,3058,2664,56125,56184
4,7,3062,2666,27600,27659
4,7,3068,2671,2522,2581
4,7,3070,2673,37407,37466
4,7,3071,2674,73202,73261
4,7,3074,2676,12453,12512
4,7,3075,2677,53415,53474
4,7,3078,2680,73060,73119
4,7,3079,2681,29246,29305
4,7,3080,2682,60138,60197
4,7,3082,2684,22412,22471
4,7,3083,2685,32101,32160
4,7,3084,2686,20720,20779
4,7,3085,2687,20505,20564
4,7,3089,2690,45650,45709
4,7,3090,2691,11293,11352
4,7,3091,2692,29032,29091
4,7,3092,2693,70252,70311
4,7,3093,2694,66696,66755
4,7,3094,2695,52250,52309
4,7,3095,2696,31375,31434
4,7,3098,2698,58551,58610
4,7,3103,2703,47402,47461
4,7,3104,2704,10525,10584
4,7,3105,2705,17445,17504
4,7,3110,2710,38539,38598
4,7,3111,2711,23176,23235
4,7,3113,2713,14001,14060
4,7,3115,2715,22375,22434
4,7,3116,2716,32250,32309
4,7,3117,2717,69840,69899
4,7,3118,2718,12959,13018
4,7,3119,2719,32155,32214
4,7,3120,2720,53,112
4,7,3121,2721,58105,58164
4,7,3122,2722,67904,67963
4,7,3123,2723,55502,55561
4,7,3124,2724,14505,14564
4,7,3125,2725,11279,11338
4,7,3126,2726,48511,48570
4,7,3127,2727,7993,8052
4,7,3128,2728,11289,11348
4,7,3129,2729,7695,7754
4,7,3130,2730,22202,22261
4,7,3135,2732,58504,58563
4,7,3138,2735,38542,38601
4,7,3139,2736,49815,49874
4,7,3140,2737,2147,2206
4,7,3141,2738,47403,47462
4,7,3143,2740,23702,23761
4,7,3147,2742,27493,27552
4,7,3149,2744,1630,1689
4,7,3151,2746,10109,10168
4,7,3153,2748,37200,37259
4,7,3156,2750,65340,65399
4,7,3157,2751,51701,51760
4,7,3158,2752,42518,42577
4,7,3159,2753,31389,31448
4,7,3160,2754,11474,11533
4,7,3166,2760,8024,8083
4,7,3167,2761,64657,64716
4,7,3169,2763,2609,2668
4,7,3170,2764,10072,10131
4,7,3171,2765,10556,10615
4,7,3172,2766,36609,36668
4,7,3175,2769,27902,27961
4,7,3176,2770,45904,45963
4,7,3177,2771,22436,22495
4,7,3178,2772,32940,32999
4,7,3179,2773,9464,9523
4,7,3181,2775,25804,25863
4,7,3182,2776,42508,42567
4,7,3184,2777,66637,66696
4,7,3186,2779,26881,26940
4,7,3187,2780,31243,31302
4,7,3188,2781,32700,32759
4,7,3191,2783,5925,5984
4,7,3194,2785,44303,44362
4,7,3196,2787,43440,43499
4,7,3197,2788,55569,55628
4,7,3198,2789,5925,5984
4,7,3201,2791,69166,69225
4,7,3202,2792,5921,5980
4,7,3203,2793,66648,66707
4,7,3204,2794,70982,71041
4,7,3205,2795,63638,63697
4,7,3206,2796,60993,61052
4,7,3208,2797,36761,36820
4,7,3209,2798,4239,4298
4,7,3210,2799,14009,14068
4,7,3211,2800,10566,10625
4,7,3212,2801,27903,27962
4,7,3213,2802,7698,7757
4,7,3214,2803,72307,72366
4,7,3215,2804,21446,21505
4,7,3218,2807,50029,50088
4,7,3220,2808,39936,39995
4,7,3221,2809,22386,22445
4,7,3222,2810,38105,38164
4,7,3223,2811,36239,36298
4,7,3224,2812,54802,54861
4,7,3226,2813,198,257
4,7,3228,2815,12996,13055
4,7,3230,2816,11474,11533
4,7,3231,2817,11474,11533
4,7,3233,2818,25934,25993
4,7,3234,2819,15540,15599
4,7,3235,2820,47705,47764
4,7,3237,2822,65859,65918
4,7,3239,2823,11474,11533
4,7,3240,2824,49640,49699
4,7,3242,2826,7596,7655
4,7,3244,2828,11476,11535
4,7,3245,2829,64406,64465
4,7,3246,2830,58585,58644
4,7,3247,2831,32103,32162
4,7,3248,2832,23489,23548
4,7,3251,2833,58602,58661
4,7,3255,2834,1644,1703
4,7,3256,2835,58574,58633
4,7,3259,2837,14455,14514
4,7,3261,2838,47705,47764
4,7,3263,2839,30817,30876
4,7,3264,2840,70637,70696
4,7,3265,2841,56338,56397
4,7,3266,2842,8018,8077
4,7,3269,2845,15648,15707
4,7,3270,2846,14422,14481
4,7,3271,2847,20631,20690
4,7,3272,2848,20432,20491
4,7,3274,2850,10524,10583
4,7,3275,2851,33648,33707
4,7,3276,2852,62888,62947
4,7,3277,2853,16701,16760
4,7,3279,2855,59772,59831
4,7,3281,2856,55524,55583
4,7,3282,2857,12444,12503
4,7,3284,2859,62340,62399
4,7,3285,2860,72240,72299
4,7,3287,2862,25994,26053
4,7,3288,2863,43533,43592
4,7,3289,2864,28631,28690
4,7,3290,2865,51337,51396
4,7,3291,2866,37678,37737
4,7,3292,2867,21310,21369
4,7,3294,2869,61964,62023
4,7,3298,2873,4677,4736
4,7,3299,2874,8700,8759
4,7,3301,2876,21000,21059
4,7,3307,2882,37425,37484
4,7,3309,2884,59767,59826
4,7,3312,2887,22594,22653
4,7,3313,2888,71427,71486
4,7,3314,2889,22019,22078
4,7,3316,2891,69808,69867
4,7,3317,2892,40440,40499
4,7,3318,2893,63176,63235
4,7,3319,2894,55725,55784
4,7,3321,2896,65566,65625
4,7,3322,2897,73576,73635
4,7,3325,2900,58140,58199
4,7,3326,2901,54122,54181
4,7,3329,2903,37429,37488
4,7,3330,2904,73082,73141
4,7,3331,2905,7677,7736
4,7,3333,2907,55582,55641
4,7,3335,2909,40712,40771
4,7,3336,2910,58835,58894
4,7,3338,2912,25805,25864
4,7,3339,2913,17927,17986
4,7,3340,2914,28556,28615
4,7,3342,2915,61043,61102
